Season,Regular_Season_Viewership,Primetime_Viewership,Descripton
2003,1.58,102.9, New Cable Heavy TV deal with ESPN and TNT
2004,1.74,103.4
2005,1.62,106.1
2006,1.63,107.5
2007,1.52,106.9
2008,1.71,108.4
2009,1.95,110.8
2010,1.85,110.5
2011,2.51,111.2,Lebron Joins Heat
2012,2.51,112.0,Lockout Year 2
2013,2.17,112.9
2014,1.95,112.8
2015,1.80,107.9
2016,1.92,105.4,Warriors Win 73 games
2017,1.75,102.5
2018,1.89,98.6
2019,1.79,92.0,Lebron Joins the Lakers
2020,1.55,85.4,Covid Year 1
2021,1.36,73.7,Covid Year 2
2022,1.61,69.7
2023,1.59,63.8